id_page,title,date,link,source,first_p
1,Democrats Regaining House Seen Raising Odds of Anti-OPEC Bill, - 1 hour ago,/news/commodities-news/democrats-regaining-house-seen-raising-odds-of-antiopec-bill-1669450,By Bloomberg,"(Bloomberg) -- If the Democrats take over the U.S. House of Representatives in next week’s midterm elections, it could renew momentum in favor of legislation targeting..."
1,Gold Prices Advance as Dollar Softens , - 5 hours ago,/news/commodities-news/gold-prices-advance-as-dollar-softens-1669221,By Investing.com,"Investing.com - Gold prices advanced on Thursday as the dollar weakened after flirting with 10-week highs in the previous session on the bullish private jobs report.
Gold futures..."
1,"Oil slips on signs of rising supplies, economic slowdown jitters", - 5 hours ago,/news/commodities-news/oil-prices-fall-on-signs-of-rising-supplies-ebbing-confidence-on-global-economy-1669105,By Reuters," BEIJING (Reuters) - Oil prices fell on Thursday, extending losses in previous sessions, amid signs of rising supply and growing concerns that demand might weaken on the prospect..."
1,Oil Prices Slip Amidst U.S. Stock Build , - 6 hours ago,/news/commodities-news/oil-prices-slip-amidst-us-stock-build-1669170,By Investing.com,"Investing.com - Oil prices edged down on Thursday morning in Asia, as U.S. crude inventories surged for the sixth straight week. OPEC also boosted oil production in October to its..."
1,Trump says oil supply elsewhere sufficient to allow cut in Iran purchases, - 12 hours ago,/news/commodities-news/trump-says-oil-supply-elsewhere-sufficient-to-allow-cut-in-iran-purchases-1668966,By Reuters, WASHINGTON (Reuters) - U.S. President Donald Trump said on Wednesday in a presidential memorandum that he had determined there was sufficient supply of petroleum and petroleum...
1,"Oil Down 11% In October, Biggest Loss in Over 2 Years", - 15 hours ago,/news/commodities-news/oil-selloff-pauses-on-weekly-data-big-losses-still-for-oct-1668281,By Investing.com,Investing.com - Oil prices in October posted their biggest monthly loss in nearly 2-1/2 years as investors shrugged off supportive U.S. supply-demand data and looming sanctions on...
1,"Gold Limps to a 2% October Gain, Still Largest Since January", - 15 hours ago,/news/commodities-news/gold-end-october-up-2-biggest-gain-since-january-1668509,By Investing.com,"Investing.com - More profit-taking on gold’s run this month left the yellow metal with a smaller 2% gain as it closed October trading on Wednesday, with analysts saying the..."
1,U.S. Passes Russia -- Briefly -- to Become Top Oil Producer, - 17 hours ago,/news/commodities-news/us-passes-russia--briefly--to-become-top-oil-producer-1668306,By Bloomberg,"(Bloomberg) -- The U.S. surpassed Russia in August to claim the title of world’s top oil producer, with the largest year-on-year output increase in U.S. history.
Output rose..."
1,OPEC oil output rises to highest since 2016 despite Iran: Reuters survey, - 20 hours ago,/news/commodities-news/opec-oil-output-rises-to-highest-since-2016-despite-iran-reuters-survey-1668018,By Reuters," By Alex Lawler LONDON (Reuters) - OPEC has boosted oil production in October to the highest since 2016, a Reuters survey found, as higher output led by the United Arab Emirates..."
1,U.S. Crude Oil Inventories Rose by 3.22M Barrels Last Week: EIA, - 20 hours ago,/news/commodities-news/us-crude-oil-inventories-rose-by-322m-barrels-last-week-eia-1667980,By Investing.com,"Investing.com - U.S. crude oil inventories rose less than expected last week, the Energy Information Administration said in its weekly report on Wednesday.
The EIA data showed..."
1,"Iran sanctions seen keeping oil above $75, but 2019 demand outlook darkens", - 23 hours ago,/news/commodities-news/iran-sanctions-seen-keeping-oil-above-75-but-2019-demand-outlook-darkens-1667454,By Reuters," By Eileen Soreng (Reuters) - Oil is likely to stay above $75 a barrel, fueled by supply disruptions exacerbated by U.S. sanctions on Iran, but further gains could be limited as..."
2,Oil rises one percent ahead of U.S. sanctions on Iran," - Oct 31, 2018",/news/commodities-news/oil-prices-rise-for-first-time-in-three-days-but-trade-war-fears-drag-1666958,By Reuters, By Christopher Johnson LONDON (Reuters) - Oil prices rose more than 1 percent on Wednesday as markets braced for the imposition of U.S. sanctions on Iran next week and as stock...
3,Gold Prices Fall on Stronger Dollar; Hovers Near 2-week Low," - Oct 31, 2018",/news/commodities-news/gold-prices-fall-on-stronger-dollar-hovers-near-2week-low-1667093,By Investing.com,"Investing.com - Gold prices slid to almost two-week lows on Wednesday, pressured lower by a firmer dollar.
Gold futures for December delivery on the Comex division of the New York..."
3,Oil Prices Bounce Back Despite Hints of Output Rise," - Oct 30, 2018",/news/commodities-news/oil-prices-bounce-back-despite-hints-of-output-rise-1667029,By Investing.com,"Investing.com – Oil prices picked up on Wednesday morning in Asia, despite the U.S., Russia and Saudi Arabia pledging to raise crude output just days before sanctions against..."
3,"Oil Hits 2-1/2-Month Low on 'High Price' Caution, Trade War"," - Oct 30, 2018",/news/commodities-news/oil-extends-losses-as-wests-energy-watchdog-iea-warns-of-high-prices-1666199,By Investing.com,"Investing.com - The International Energy Agency (IEA), along with U.S. and Chinese trade officials, aren't helping oil prices recover, as crude hit 2-1/2 month lows on Tuesday amid..."
3,Gold Dips as Dollar Flexes Muscle," - Oct 30, 2018",/news/commodities-news/gold-dips-as-dollar-flexes-muscle-in-last-stretch-to-octend-1666365,By Investing.com,"Investing.com - The dollar’s march higher is chipping away at gold’s October rally.
The dollar was at around 10-week highs on Tuesday as U.S.-Sino trade tensions once..."
4,Gold Prices Fall as Trade War Tensions Boost Safe Haven Demand for Dollar," - Oct 30, 2018",/news/commodities-news/gold-prices-fall-as-trade-war-tensions-boost-safe-haven-demand-for-dollar-1665877,By Investing.com,"Investing.com - Gold prices fell on Tuesday as the safe haven demand for the dollar was boosted by concerns over the pending trade dispute between the U.S. and China.
At 10:25 AM..."
4,Oil Prices Slide Extending Sharp October Decline," - Oct 30, 2018",/news/commodities-news/oil-prices-slide-extending-sharp-october-decline-1665665,By Investing.com,"Investing.com - Oil prices continued to slide on Tuesday, adding to a sharp decline for the month of October as concerns over the outlook for global demand amid simmering trade..."
4,"Oil prices fall on rising supply, trade tensions"," - Oct 30, 2018",/news/commodities-news/oil-prices-fall-on-rising-supply-global-market-woes-1664882,By Reuters," By Christopher Johnson LONDON (Reuters) - Oil prices fell on Tuesday, depressed by concerns that the U.S.-China trade dispute will dent economic growth and by signs of rising..."
